,Time [s],Net Acceleration [m/s^2],Thrust Force [N]
89,0.0873333333333333,2.613502361232864,5.972096608949889
90,0.088,2.2212904230362223,5.488752599613313
91,0.0886666666666666,2.731671734350341,5.272352611192887
92,0.0893333333333333,2.239057267146856,4.8503042193917505
93,0.09,1.6764308071995608,4.63024129421129
94,0.0906666666666666,0.5352514393376518,4.0824255580652915
95,0.0913333333333333,0.3348586283294845,3.868277469858135
96,0.092,1.3962773169262086,3.8803726001740366
97,0.0926666666666666,3.400713222238117,4.377033998440714
98,0.0933333333333333,0.8292594399451677,4.2489912269082435
99,0.094,0.716754284016268,3.7870276320744387
100,0.0946666666666666,1.7111001622334392,3.423813258342929
101,0.0953333333333333,0.3762407691053553,3.067946760505377
102,0.096,0.48007920633594003,3.0355489611339657
