,tCont,vYSmooth
730,0.518,44.51458784
731,0.518666667,48.4989615
732,0.519333333,52.80830151
733,0.52,57.58114286
734,0.520666667,62.85956279
735,0.521333333,68.66707778
736,0.522,75.04226662
737,0.522666667,81.99637876
738,0.523333333,89.53290805
739,0.524,97.91962094
740,0.527333333,75.73785123
741,0.528,54.23403848
742,0.528666667,33.30044494
743,0.53,12.59244911
744,0.530666667,-7.908389267
745,0.531333333,-28.65251381
746,0.532,-18.6513794
747,0.532666667,-39.72309949
748,0.533333333,-30.30558396
749,0.534,-21.19655431
750,0.534666667,-12.31622515
751,0.535333333,-34.4989897
752,0.536,-57.17615284
753,0.536666667,-49.30292668
754,0.537333333,-41.9090814
755,0.538,-65.70150011
756,0.538666667,-59.34524635
757,0.539333333,-53.52697133
758,0.54,-48.23032322
759,0.540666667,-43.37424448
760,0.541333333,-38.93262118
761,0.542,-34.90565005
762,0.542666667,-31.19408311
763,0.543333333,-27.78898865
764,0.544,-24.66783547
765,0.544666667,-21.81007356
766,0.545333333,-19.17757795
767,0.546,-16.78630049
768,0.546666667,-14.53806615
769,0.547333333,-12.47692641
770,0.548,-10.57846966
771,0.548666667,-8.80344481
772,0.549333333,-7.162440163
773,0.55,-5.612771822
774,0.550666667,-4.162799658
775,0.551333333,-2.801115775
776,0.552,-1.488985934
777,0.552666667,-0.248093392
778,0.553333333,0.961752824
779,0.554,2.11280038
780,0.554666667,3.268474978
781,0.555333333,4.398448954
782,0.556,5.541033277
783,0.556666667,6.671795838
784,0.557333333,7.839699715
785,0.558,9.05708708
786,0.558666667,10.25729807
787,0.559333333,11.52576114
788,0.56,12.83965681
789,0.560666667,14.21009394
790,0.561333333,15.69336485
791,0.562,-12.13192184
792,0.562666667,-10.69311634
793,0.563333333,-9.377794851
794,0.564,-8.205361949
795,0.564666667,-7.118773634
796,0.565333333,-6.109652603
797,0.566,-5.257222043
798,0.566666667,-4.47290665
799,0.567333333,-3.74571187
800,0.568,-3.040826747
801,0.568666667,-2.450996114
802,0.569333333,-1.904929997
803,0.57,-1.309837569
804,0.570666667,-0.75398571
805,0.571333333,-0.231057599
806,0.572,0.273058294
807,0.572666667,0.760993654
808,0.573333333,1.230258309
809,0.574,1.653289256
810,0.574666667,2.07695691
811,0.575333333,2.470423101
812,0.576,2.893724264
813,0.576666667,3.269276829
814,0.577333333,3.681914861
815,0.578,4.116136354
816,0.578666667,4.557606505
817,0.579333333,4.979110116
818,0.58,5.423875569
819,0.580666667,5.86924762
820,0.581333333,6.339615876
821,0.582,6.870513563
822,0.582666667,7.400318354
823,0.583333333,7.945642799
824,0.584,8.572200764
825,0.584666667,9.239544559
826,0.585333333,9.962403038
827,0.586,10.7295729
828,0.586666667,11.53758393
829,0.587333333,12.38411048
830,0.588,13.29831131
831,0.588666667,14.35044312
832,0.589333333,15.48411522
833,0.59,16.73886777
834,0.590666667,18.08059601
835,0.591333333,19.5957149
836,0.592,21.1418812
837,0.592666667,22.84988594
838,0.593333333,24.75877625
839,0.594,26.95424399
840,0.594666667,29.28159655
